Titulo,Autores,Precio inicial,Precio final
CALCULO DIFERENCIAL      (DGB/S.INTEGRAL COMPETENCIAS),"ORTIZ, FRANCISCO    .",$199.00,$179.10
CÁLCULO DIFERENCIAL,"ORTIZ CAMPOS, FRANCISCO JOSÉ",$275.00,$247.50
CÁLCULO DIFERENCIAL 2ED. -COMPETENCIA+APRENDIZAJE+VIDA-,JIMÉNEZ            /            ESTRADA,$315.00,$270.90
CÁLCULO INTEGRAL,"ORTIZ CAMPOS, FRANCISCO JOSÉ",$275.00,$247.50
CÁLCULO DIFERENCIAL,RAMOS            /            GÓMEZ            /            PALMA,$528.00,$475.20
CÁLCULO DIFERENCIAL                  SC -COMPETENCIAS-,CALLEJAS            /            JIMÉNEZ,$210.00,$180.60
CÁLCULO DIFERENCIAL E INTEGRAL 2ED.,DE OTEYZA            /            LAM,$429.00,$368.94
CÁLCULO INTEGRAL BACH. 2ED. -COMPETENCIAS+APRENDIZAJE+VIDA-,JIMÉNEZ            /            ESTRADA,$315.00,$270.90
CÁLCULO INTEGRAL,"RAMOS, JOSÉ",$228.00,$205.20
CALCULO APLICADO TOMO 3 -COMPETENCIAS MATEMATICAS-,SALINAS,$479.00,$431.10
MATEMÁTICAS I -CÁLCULO DIFERENCIAL-,LARSON            /            EDWARDS,$280.00,$252.00
MATEMÁTICAS III -CÁLCULO DE VARIAS VARIABLES-,LARSON            /            EDWARDS,$280.00,$252.00
CÁLCULO DE LÍNEAS Y REDES ELÉCTRICAS,"MUJAR ROSAS, RAMÓN",$398.00,$358.20
ESTRUCTURAS DE HORMIGÓN ARMADO -PREDIMENSIONAMIENTO Y CÁLCULO-,GÓMEZ            /            GÓMEZ,$268.00,$241.20
COLECCIÓN LIPPINCOTT ENFERMERÍA 5ED. -CÁLCULO Y ADMON. DE MED.-,"HARVEY, MARGARET",$534.00,$427.20
Titulo,Autores,Precio inicial,Precio final
CÁLCULO MENTAL 6 PRIM. 2ED. -Y ESTIMACIÓN DE RESULTADOS-,ZÚÑIGA            /            ZÚÑIGA            /            ZÚÑIGA,$275.00,$247.50
CÁLCULO DIFERENCIAL,"SALAZAR GUERRERO, LUDWING JAVIER",$197.00,$169.42
CÁLCULO DIFERENCIAL -BACH.TECNOLÓGICO-,ESTRADA            /            JIMÉNEZ,$272.00,$244.80
CÁLCULO DIFERENCIAL 4ED.,"FUENLABRADA, SAMUEL",$681.00,$612.90
PRECÁLCULO 7ED. -MATEMÁTICAS PARA EL CÁLCULO-,"STEWART, JAMES",$410.00,$352.60
CALCULO INTEGRAL PARA CURSOS CON ENFOQUE POR COMPETENCIAS,"MORALES, FELICITAS",$170.00,$146.20
CALCULO INTEGRAL,"GARZA, BENJAMIN",$186.00,$159.96
CALCULO INTEGRAL 2ED.,"GARZA, BENJAMIN",$770.00,$662.20
CÁLCULO DIFERENCIAL 4ED. (C/ACCESO),CONAMAT,$170.00,$146.20
CÁLCULO UNA VARIABLE 13ED. (COD.ACCESO/MYMATHLAB),THOMAS,$210.00,$180.60
MATEMÁTICAS 5 (CÁLCULO DIFERENCIAL)  IE,CALLEJAS            /            JIMÉNEZ,$349.00,$314.10
CÁLCULO INTEGRAL                     SC -COMPETENCIAS-,FOX            /            ORTIZ,$110.00,$88.00
CALCULO DIFERENCIAL              (BACH. POR COMPETENCIAS),MAYA            /            AGUIRRE,$360.00,$324.00
CALCULO VISUAL C/CD,"CUEVAS, CARLOS",$314.00,$282.60
APRENDO JUGANDO -EJERCICIOS DE CÁLCULO (6-7 AÑOS)-,COMBEL,$272.00,$244.80
ELEMENTOS FUNDAMENTALES EN EL CÁLCULO DE DIETAS 2ED.,"ASCENCIO, CLAUDIA",$165.00,$148.50
CALCULO 2ED. VOL.1,"SMITH, ROBERT T.",$145.00,$130.50
Titulo,Autores,Precio inicial,Precio final
DISEÑO Y CÁLCULO DE ESTRUCTURAS DE CONCRETO REFORZADO 2ED.,"PÉREZ ALAMÁ, VICENTE",$799.00,$719.10
"CÁLCULO MENTAL ES UN JUEGO (7-9 AÑOS), EL","ROUGIER, R.",$130.00,$111.80
CÁLCULO DIFERENCIAL (DGETI),GARCÍA            /            GUERRA,$230.00,$218.50
DESARROLLE SU CÁLCULO EN AJEDREZ -MEDIO JUEGO-,"EDOUARD, ROMAIN",$390.00,$292.50
